WKT,ID,Produkt,Teilprodukt,Name,Plz,Strname,Hsnr,Rechtswert,Hochwert
"POINT (3405419 5755854)",210,Turn- und Sporthallen,Krafträume,Sporthalle Berg Fidel,48153,Am Berg Fidel,51,3405419,5755854
"POINT (3405419 5755854)",211,Turn- und Sporthallen,Dreifachhallen,Sporthalle Berg Fidel,48153,Am Berg Fidel,51,3405419,5755854
"POINT (3405419 5755854)",212,Sondersportanlagen,Skateanlagen,Skaterpark Berg Fidel,48153,Am Berg Fidel,51,3405419,5755854
"POINT (3410100 5755839)",213,Bezirkssportanlage,überlassen,Sportanlage Am Hohen Ufer,48167,Am Hohen Ufer,111,3410100,5755839
"POINT (3410100 5755839)",214,Sondersportanlagen,Bouleanlagen,Sportanlage Am Hohen Ufer,48167,Am Hohen Ufer,111,3410100,5755839
"POINT (3410100 5755839)",215,Sondersportanlagen,Speckbrettanlagen,Sportanlage Am Hohen Ufer,48167,Am Hohen Ufer,111,3410100,5755839
"POINT (3410100 5755839)",216,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Gremmendorf,48167,Am Hohen Ufer,111,3410100,5755839
"POINT (3405034 5759339)",217,Turn- und Sporthallen,Zweifachhalle,Gymnasium Paulinum,48143,Am Stadtgraben,30,3405034,5759339
"POINT (3412624 5754253)",218,Turn- und Sporthallen,Einfachhallen,Nikolaischule Wolbeck,48167,Am Wigbold,11,3412624,5754253
"POINT (3405549 5753073)",219,Turn- und Sporthallen,Zweifachhalle,Ludgerusschule Hiltrup,48165,An der Alten Kirche,161,3405549,5753073
"POINT (3409197 5759655)",220,Turn- und Sporthallen,Einfachhallen,Pleisterschule,48155,An der Konradkirche,7,3409197,5759655
"POINT (3408399 5756079)",221,Turn- und Sporthallen,Dreifachhallen,Pestalozzischule Gremmendorf,48167,Anton-Knubel-Weg,10,3408399,5756079
"POINT (3408537 5756024)",222,Bezirkssportanlage,überlassen,Sportanlage Anton-Knubel-Weg,48167,Anton-Knubel-Weg,24,3408537,5756024
"POINT (3402567 5760269)",223,Turn- und Sporthallen,Einfachhallen,"Michaelschule, Halle1",48149,Appelbreistiege,40,3402567,5760269
"POINT (3402567 5760269)",224,Turn- und Sporthallen,Einfachhallen,"Michaelschule, Halle2",48149,Appelbreistiege,40,3402567,5760269
"POINT (3402056 5760036)",225,Bezirkssportanlage,nicht überlassen,Sportanlage Arnheimweg,48161,Arnheimweg,40,3402056,5760036
"POINT (3402056 5760036)",226,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Arnheimweg,48161,Arnheimweg,40,3402056,5760036
"POINT (3402056 5760036)",227,Sondersportanlagen,Speckbrettanlagen,Sportanlage Arnheimweg,48161,Arnheimweg,40,3402056,5760036
"POINT (3399110 5758929)",228,Turn- und Sporthallen,Einfachhallen,Marienschule Roxel,48161,Auf dem Dorn,17,3399110,5758929
"POINT (3407508 5758430)",229,Bezirkssportanlage,überlassen,Sportanlage August-Schepers-Straße,48155,August-Schepers-Straße,20,3407508,5758430
"POINT (3404464 5758486)",230,Turn- und Sporthallen,Einfachhallen,Erich-Klausener-,48151,Bismarckallee,55,3404464,5758486
"POINT (3406872 5753372)",231,Turn- und Sporthallen,Einfachhallen,Paul-Gerhardt-Schule Hiltrup,48165,Bodelschwinghstraße,22,3406872,5753372
"POINT (3406872 5753372)",232,Turn- und Sporthallen,Gymnastikräume,Paul-Gerhardt-Schule-Hiltrup,48165,Bodelschwinghstraße,22,3406872,5753372
"POINT (3406872 5753372)",233,Turn- und Sporthallen,Dreifachhallen,Paul-Gerhardt-Schule-Hiltrup,48165,Bodelschwinghstraße,22,3406872,5753372
"POINT (3406468 5760094)",234,Turn- und Sporthallen,Einfachhallen,Ratsgymnasium alte Halle,48147,Bohlweg,7,3406468,5760094
"POINT (3406468 5760094)",235,Turn- und Sporthallen,Einfachhallen,Ratsgymnasium neue Halle,48147,Bohlweg,7,3406468,5760094
"POINT (3404134 5757258)",236,Turn- und Sporthallen,Dreifachhallen,Dietrich-Bonhoeffer-,48151,Bonhoefferstraße,54,3404134,5757258
"POINT (3404134 5757258)",237,Bezirkssportanlage,überlassen,Sportanlage Aaseestadt,48151,Bonhoefferstraße,54,3404134,5757258
"POINT (3404134 5757258)",238,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Aaseestadt,48151,Bonhoefferstraße,54,3404134,5757258
"POINT (3404134 5757258)",239,Sondersportanlagen,Bouleanlagen,Sportanlage Aaseestadt,48151,Bonhoefferstraße,54,3404134,5757258
"POINT (3404134 5757258)",240,Sondersportanlagen,Speckbrettanlagen,Sportanlage Aaseestadt,48151,Bonhoefferstraße,54,3404134,5757258
"POINT (3411575 5754185)",241,Bezirkssportanlage,nicht überlassen,Sportzentrum Wolbeck,48167,Brandhoveweg,97,3411575,5754185
"POINT (3411575 5754185)",242,Sondersportanlagen,Bouleanlagen,Sportzentrum Wolbeck,48167,Brandhoveweg,97,3411575,5754185
"POINT (3411575 5754185)",243,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Wolbeck,48167,Brandhoveweg,97,3411575,5754185
